Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
12/22/2019 5:57:58 PM,Fruit smoothies,0.65,oz,Like it!
12/22/2019 5:24:51 PM,Fruit smoothies,1.85,oz,Love it!
12/22/2019 4:10:45 PM,Nuts,0.4,oz,Like it!
12/22/2019 12:49:38 PM,Fruit smoothies,1.25,oz,Like it!
12/22/2019 7:10:33 PM,Fruit smoothies,2.95,oz,Like it!
12/22/2019 3:52:36 PM,Oatmeal,2.25,oz,Like it!
12/22/2019 12:39:07 PM,Oatmeal,1.3,oz,Like it!
12/22/2019 8:30:14 AM,Oatmeal,0.8,oz,Like it!
12/22/2019 9:35:45 AM,Oatmeal,1.7,oz,Like it!
12/22/2019 8:45:37 AM,Fruit smoothies,1.4,oz,Like it!
12/21/2019 12:01:17 PM,Fruit smoothies,1.65,oz,Like it!
12/21/2019 9:05:42 AM,Oatmeal,0.5,oz,Like it!
12/21/2019 7:55:43 PM,"Apricots,Sweet potatoes,Bananas",2.35,oz,Like it!
12/21/2019 5:20:09 PM,Fruit smoothies,2.0,oz,Like it!
12/21/2019 6:25:36 PM,Applesauce,3.0,oz,Love it!
12/21/2019 5:25:33 PM,Yogurt,0.4,oz,Like it!
12/21/2019 4:15:51 PM,Yogurt,0.2,oz,Hate it!
12/21/2019 9:28:11 AM,Oatmeal,2.4,oz,Like it!
12/21/2019 12:29:43 PM,Oatmeal,2.5,oz,Like it!
12/21/2019 5:33:32 PM,Oatmeal,1.3,oz,Like it!
12/21/2019 9:45:53 AM,Fruit smoothies,2.35,oz,Like it!
12/20/2019 9:17:06 AM,Fruit smoothies,2.3,oz,Like it!
12/20/2019 3:40:19 PM,Rice cereal,0.8,oz,Like it!
12/20/2019 3:53:32 PM,Fruit smoothies,0.9,oz,Like it!
12/20/2019 12:50:06 PM,Rice cereal,1.8,oz,Like it!
12/20/2019 6:15:17 PM,Fruit smoothies,1.95,oz,Like it!
12/20/2019 12:55:19 PM,Fruit smoothies,1.4,oz,Like it!
12/20/2019 10:30:16 AM,Rice cereal,2.7,oz,Love it!
12/20/2019 6:20:48 PM,Fruit smoothies,0.6,oz,Hate it!
12/20/2019 10:40:45 AM,Fruit smoothies,1.4,oz,Like it!
12/20/2019 7:45:54 PM,Fruit smoothies,0.8,oz,Like it!
12/20/2019 5:04:41 PM,Yogurt,1.2,oz,Like it!
12/19/2019 9:45:18 AM,Nuts,0.1,oz,Like it!
12/19/2019 5:27:27 PM,Fruit smoothies,1.7,oz,Like it!
12/19/2019 9:50:34 AM,Fruit smoothies,3.5,oz,Like it!
12/19/2019 5:34:13 PM,Yogurt,0.4,oz,Hate it!
12/19/2019 12:00:11 PM,Oatmeal,2.8,oz,Like it!
12/19/2019 3:08:58 PM,Oatmeal,1.5,oz,Like it!
12/19/2019 12:10:27 PM,Fruit smoothies,2.0,oz,Like it!
12/19/2019 9:35:14 AM,Oatmeal,2.8,oz,Like it!
12/19/2019 3:20:20 PM,Yogurt,2.0,oz,Like it!
12/19/2019 7:00:46 PM,Yogurt,0.6,oz,Like it!
12/19/2019 7:06:57 PM,Fruit smoothies,1.6,oz,Like it!
12/18/2019 12:40:23 PM,Fruit smoothies,3.75,oz,Like it!
12/18/2019 3:30:51 PM,Yogurt,5.0,oz,Like it!
12/18/2019 6:45:00 PM,"Pears,Peas,Broccoli",2.0,oz,Like it!
12/18/2019 9:30:08 AM,Oatmeal,2.5,oz,Like it!
12/18/2019 8:02:08 PM,"Pears,Peas,Broccoli",1.6,oz,Like it!
12/18/2019 9:50:37 AM,Fruit smoothies,3.75,oz,Like it!
12/18/2019 12:05:53 PM,Oatmeal,2.5,oz,Like it!
12/17/2019 9:50:36 AM,Fruit smoothies,3.75,oz,Like it!
12/17/2019 3:05:24 PM,Yogurt,4.0,oz,Like it!
12/17/2019 12:00:51 PM,Oatmeal,2.3,oz,Like it!
12/17/2019 12:15:23 PM,Fruit smoothies,3.75,oz,Like it!
12/17/2019 6:02:58 PM,Fruit smoothies,3.6,oz,Love it!
12/17/2019 12:25:49 PM,Nuts,0.2,oz,Like it!
12/17/2019 9:30:07 AM,Oatmeal,2.3,oz,Like it!
12/16/2019 3:35:48 PM,Yogurt,1.3,oz,Like it!
12/16/2019 3:15:35 PM,Oatmeal,0.1,oz,Hate it!
12/16/2019 9:30:31 AM,Oatmeal,2.6,oz,Like it!
12/16/2019 8:20:47 AM,Yogurt,0.9,oz,Like it!
12/16/2019 9:40:44 AM,Fruit smoothies,3.75,oz,Like it!
12/16/2019 12:10:19 PM,Nuts,0.2,oz,Like it!
12/16/2019 12:20:48 PM,Oatmeal,1.3,oz,Like it!
12/16/2019 4:48:14 PM,Fruit smoothies,2.9,oz,Like it!
12/16/2019 8:01:34 AM,Oatmeal,1.2,oz,Like it!
12/16/2019 12:35:06 PM,"Chicken,Other",0.2,oz,Hate it!
12/15/2019 9:19:58 AM,Oatmeal,2.2,oz,Love it!
12/15/2019 6:50:11 PM,Yogurt,1.35,oz,Like it!
12/15/2019 9:24:58 AM,Fruit smoothies,2.3,oz,Like it!
12/15/2019 12:15:25 PM,Fruit smoothies,0.5,oz,Like it!
12/15/2019 12:28:42 PM,Yogurt,1.85,oz,Like it!
12/15/2019 12:21:35 PM,Rice cereal,0.3,oz,Hate it!
12/15/2019 4:36:37 PM,Yogurt,1.35,oz,Like it!
12/15/2019 4:50:24 PM,Fruit smoothies,3.2,oz,Like it!
12/14/2019 4:30:48 PM,Fruit smoothies,1.5,oz,Like it!
12/14/2019 10:02:43 AM,Oatmeal,1.7,oz,Like it!
12/14/2019 9:15:27 AM,Wheat cereal,0.1,oz,Hate it!
12/14/2019 10:13:55 AM,Fruit smoothies,0.8,oz,Like it!
12/14/2019 7:51:40 PM,Fruit smoothies,1.7,oz,Love it!
