Time of feeding,Milk type,Amount(ml),Amount(oz)
11/28/2019 7:42:50 PM,Breast milk,120.0,4.0577
11/28/2019 6:32:22 PM,Breast milk,105.0,3.5505
11/28/2019 4:32:39 PM,Breast milk,125.0,4.2268
11/28/2019 12:48:49 PM,Breast milk,150.0,5.0721
11/28/2019 9:30:15 AM,Breast milk,150.0,5.0721
11/28/2019 7:19:30 AM,Breast milk,110.0,3.7195
11/27/2019 7:48:00 PM,Breast milk,65.0,2.1979
11/27/2019 6:58:17 PM,Breast milk,150.0,5.0721
11/27/2019 4:40:35 PM,Breast milk,150.0,5.0721
11/27/2019 3:15:02 PM,Breast milk,15.0,0.5072
11/27/2019 12:30:56 PM,Breast milk,60.0,2.0288
11/27/2019 9:50:16 AM,Breast milk,45.0,1.5216
11/27/2019 8:07:13 AM,Breast milk,50.0,1.6907
11/27/2019 7:08:07 AM,Breast milk,95.0,3.2123
11/26/2019 10:40:09 PM,Breast milk,60.0,2.0288
11/26/2019 7:50:11 PM,Breast milk,180.0,6.0865
11/26/2019 5:25:40 PM,Breast milk,120.0,4.0577
11/26/2019 3:45:51 PM,Breast milk,15.0,0.5072
11/26/2019 12:30:19 PM,Breast milk,45.0,1.5216
11/26/2019 9:55:53 AM,Breast milk,60.0,2.0288
11/26/2019 8:32:30 AM,Breast milk,10.0,0.3381
11/26/2019 7:36:25 AM,Breast milk,135.0,4.5649
11/25/2019 7:31:19 PM,Breast milk,140.0,4.734
11/25/2019 4:57:22 PM,Breast milk,120.0,4.0577
11/25/2019 3:35:45 PM,Breast milk,90.0,3.0433
11/25/2019 12:30:22 PM,Breast milk,120.0,4.0577
11/25/2019 9:55:23 AM,Breast milk,60.0,2.0288
11/25/2019 7:40:02 AM,Breast milk,130.0,4.3958
11/24/2019 7:13:06 PM,Breast milk,100.0,3.3814
11/24/2019 4:38:35 PM,Breast milk,90.0,3.0433
11/24/2019 12:33:54 PM,Breast milk,110.0,3.7195
11/24/2019 9:34:00 AM,Breast milk,120.0,4.0577
11/24/2019 8:00:32 AM,Breast milk,120.0,4.0577
11/23/2019 7:48:42 PM,Formula,165.0,5.5795
11/23/2019 6:13:23 PM,Formula,105.0,3.5506
11/23/2019 4:02:11 PM,Formula,105.0,3.5506
11/23/2019 12:20:04 PM,Formula,70.0,2.3671
11/23/2019 9:40:03 AM,Formula,90.0,3.0434
11/23/2019 7:10:44 AM,Formula,160.0,5.4104
11/22/2019 7:40:39 PM,Formula,115.0,3.8887
11/22/2019 5:02:26 PM,Formula,115.0,3.8887
11/22/2019 4:01:11 PM,Formula,10.0,0.3382
11/22/2019 12:35:00 PM,Formula,70.0,2.3671
11/22/2019 9:01:24 AM,Formula,90.0,3.0434
11/22/2019 7:20:10 AM,Formula,175.0,5.9176
11/21/2019 7:27:44 PM,Formula,105.0,3.5506
11/21/2019 6:16:50 PM,Formula,190.0,6.4249
11/21/2019 3:40:47 PM,Formula,25.0,0.8454
11/21/2019 10:05:57 AM,Formula,125.0,4.2269
11/21/2019 7:35:03 AM,Formula,175.0,5.9176
11/21/2019 5:01:25 AM,Formula,70.0,2.3671
11/20/2019 6:08:05 PM,Formula,105.0,3.5506
11/20/2019 12:05:07 PM,Formula,70.0,2.3671
11/20/2019 9:30:24 AM,Formula,105.0,3.5506
11/20/2019 8:02:12 AM,Formula,160.0,5.4104
11/19/2019 7:37:43 PM,Formula,140.0,4.7341
11/19/2019 6:22:24 PM,Formula,105.0,3.5506
11/19/2019 5:04:59 PM,Formula,60.0,2.0289
11/19/2019 3:05:14 PM,Formula,70.0,2.3671
11/19/2019 12:05:07 PM,Formula,140.0,4.7341
11/19/2019 9:37:36 AM,Formula,105.0,3.5506
11/19/2019 8:20:12 AM,Formula,10.0,0.3382
11/19/2019 6:30:21 AM,Formula,140.0,4.7341
11/18/2019 7:25:34 PM,Formula,80.0,2.7052
11/18/2019 6:15:03 PM,Formula,115.0,3.8887
11/18/2019 5:20:40 PM,Formula,80.0,2.7052
11/18/2019 3:10:36 PM,Formula,35.0,1.1835
11/18/2019 12:35:20 PM,Formula,70.0,2.3671
11/17/2019 6:00:58 PM,Formula,105.0,3.5506
11/17/2019 2:38:36 PM,Formula,140.0,4.7341
11/17/2019 12:35:03 PM,Formula,10.0,0.3382
11/17/2019 8:59:05 AM,Formula,105.0,3.5506
11/17/2019 7:12:40 AM,Formula,140.0,4.7341
11/16/2019 8:24:00 PM,Formula,25.0,0.8454
11/16/2019 7:23:26 PM,Formula,25.0,0.8454
11/16/2019 4:19:11 PM,Formula,80.0,2.7052
11/16/2019 12:45:42 PM,Formula,45.0,1.5217
11/16/2019 9:41:39 AM,Formula,85.0,2.8743
11/16/2019 7:22:54 AM,Formula,70.0,2.3671
11/15/2019 7:35:55 PM,Formula,195.0,6.5939
11/15/2019 6:29:00 PM,Formula,115.0,3.8887
11/15/2019 4:15:28 PM,Formula,105.0,3.5506
11/15/2019 12:46:45 PM,Formula,145.0,4.9032
11/15/2019 9:10:42 AM,Formula,90.0,3.0434
11/15/2019 7:30:21 AM,Formula,140.0,4.7341
11/14/2019 7:20:37 PM,Formula,145.0,4.9032
11/14/2019 4:40:20 PM,Formula,175.0,5.9176
11/14/2019 3:30:29 PM,Formula,140.0,4.7341
11/14/2019 12:15:06 PM,Formula,140.0,4.7341
11/14/2019 9:50:21 AM,Formula,105.0,3.5506
11/14/2019 7:12:17 AM,Formula,115.0,3.8887
11/13/2019 7:37:16 PM,Formula,125.0,4.2269
11/13/2019 5:37:54 PM,Formula,105.0,3.5506
11/13/2019 4:50:21 PM,Formula,140.0,4.7341
11/13/2019 3:30:21 PM,Formula,140.0,4.7341
11/13/2019 12:15:19 PM,Formula,120.0,4.0578
11/13/2019 9:40:44 AM,Formula,105.0,3.5506
11/13/2019 7:19:17 AM,Formula,75.0,2.5361
11/12/2019 7:35:28 PM,Formula,120.0,4.0578
11/12/2019 6:10:34 PM,Formula,140.0,4.7341
11/12/2019 4:52:24 PM,Formula,90.0,3.0434
11/12/2019 3:35:19 PM,Formula,105.0,3.5506
11/12/2019 12:20:14 PM,Formula,140.0,4.7341
11/12/2019 11:46:26 AM,Formula,35.0,1.1835
11/12/2019 9:44:31 AM,Formula,75.0,2.5361
11/12/2019 7:22:43 AM,Formula,125.0,4.2269
11/11/2019 6:50:44 PM,Formula,110.0,3.7197
11/11/2019 6:17:28 PM,Formula,90.0,3.0434
11/11/2019 5:05:49 PM,Formula,80.0,2.7052
11/11/2019 3:30:58 PM,Formula,140.0,4.7341
11/11/2019 12:25:21 PM,Formula,105.0,3.5506
11/11/2019 9:45:25 AM,Formula,140.0,4.7341
11/11/2019 7:52:27 AM,Formula,85.0,2.8743
11/10/2019 7:39:11 PM,Formula,105.0,3.5506
11/10/2019 6:45:59 PM,Formula,140.0,4.7341
11/10/2019 5:12:01 PM,Formula,25.0,0.8454
11/10/2019 3:53:52 PM,Formula,45.0,1.5217
11/10/2019 12:20:13 PM,Formula,125.0,4.2269
11/10/2019 9:57:45 AM,Formula,25.0,0.8454
11/10/2019 7:15:00 AM,Formula,105.0,3.5506
11/09/2019 7:47:16 PM,Formula,35.0,1.1835
11/09/2019 7:05:56 PM,Formula,10.0,0.3382
11/09/2019 6:27:21 PM,Formula,140.0,4.7341
11/09/2019 6:16:27 PM,Formula,70.0,2.3671
11/09/2019 3:40:51 PM,Formula,25.0,0.8454
11/09/2019 10:38:09 AM,Formula,10.0,0.3382
11/09/2019 8:03:16 AM,Formula,125.0,4.2269
11/08/2019 7:51:40 PM,Formula,115.0,3.8887
11/08/2019 6:08:54 PM,Formula,145.0,4.9032
11/08/2019 3:42:32 PM,Formula,105.0,3.5506
11/08/2019 12:39:34 PM,Formula,165.0,5.5795
